sector,s_activas,afinidad_t,afinidad_m,t_min,t_max,t_avg,clase_fatiga,t_skills_0,m_skills_0,s_skills_0
8,11,0.4278893961968688,0.4580560732901462,8,50,29.0,2,"[5, 9, 7, 4, 9, 1, 8, 3, 4, 3, 4, 6, 2, 6, 3, 6, 4, 8, 8, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 7, 4, 9, 6, 1, 7, 2, 6]","[7, 2, 2, 3, 9, 7, 2, 1, 7, 7, 9, 9, 1, 4, 3, 1, 0, 5, 1, 9]"
0,24,0.6622626101598862,0.7460406044397112,9,47,28.0,1,"[5, 6, 8, 7, 1, 3, 1, 6, 7, 2, 3, 2, 1, 0, 7, 9, 8, 2, 6, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 5, 1, 5, 1, 7, 2, 5, 3]","[7, 1, 2, 1, 4, 7, 8, 3, 3, 3, 8, 3, 1, 2, 7, 3, 3, 6, 2, 7]"
11,26,0.1792956226647038,0.1838069651477776,2,50,26.0,4,"[2, 4, 9, 3, 1, 0, 8, 5, 4, 4, 4, 3, 4, 4, 3, 1, 0, 6, 5, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 9, 8, 6, 9, 4, 6, 1, 0]","[3, 3, 5, 0, 8, 6, 9, 2, 6, 0, 2, 4, 1, 8, 1, 3, 7, 0, 1, 0]"
17,15,0.5572509342159337,0.5824124190671911,8,52,30.0,2,"[0, 3, 7, 7, 2, 3, 9, 1, 0, 6, 2, 4, 8, 7, 9, 6, 7, 4, 8, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 5, 1, 5, 0, 2, 2, 3, 7]","[5, 9, 8, 9, 7, 8, 1, 6, 4, 3, 9, 9, 3, 8, 8, 7, 7, 3, 9, 8]"
2,19,0.4339171668729681,0.579256862628587,8,42,25.0,2,"[6, 0, 1, 2, 1, 2, 7, 8, 3, 6, 1, 0, 6, 8, 3, 9, 2, 7, 7, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 2, 9, 3, 8, 8, 7, 4, 4]","[2, 0, 0, 8, 8, 1, 7, 2, 1, 9, 1, 9, 3, 6, 5, 1, 4, 8, 2, 2]"
19,16,0.1744683469092619,0.1553832860619394,8,21,14.5,4,"[0, 7, 9, 1, 9, 5, 4, 8, 1, 1, 8, 8, 6, 4, 9, 2, 9, 4, 5, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 7, 5, 1, 2, 2, 0, 0, 7]","[1, 8, 8, 9, 6, 4, 0, 8, 1, 5, 8, 1, 2, 6, 6, 6, 3, 9, 2, 4]"
7,29,0.2989139208869049,0.2824227731815283,1,28,14.5,3,"[5, 9, 6, 1, 7, 6, 2, 1, 1, 5, 6, 8, 3, 2, 6, 4, 9, 3, 7, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 4, 1, 6, 7, 3, 6, 5, 5]","[9, 4, 6, 1, 9, 0, 6, 2, 9, 1, 0, 8, 0, 8, 5, 9, 2, 3, 8, 9]"
23,18,0.8744908648261818,0.9121710709437189,8,26,17.0,0,"[8, 1, 4, 1, 7, 6, 7, 6, 6, 4, 9, 3, 2, 4, 0, 7, 5, 0, 7, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 4, 2, 9, 3, 5, 6, 7, 2]","[8, 0, 7, 2, 6, 4, 8, 6, 4, 2, 6, 5, 2, 2, 6, 6, 4, 6, 2, 6]"
16,26,0.3860337299967313,0.2740841304683291,6,48,27.0,3,"[0, 4, 1, 7, 2, 8, 3, 9, 3, 0, 6, 7, 8, 9, 7, 7, 4, 1, 1, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 7, 9, 7, 5, 8, 2, 3, 6]","[5, 3, 3, 2, 5, 9, 1, 7, 0, 6, 3, 5, 8, 6, 5, 3, 3, 7, 7, 4]"
2,18,0.1223116702884322,0.0492739931168035,3,38,20.5,4,"[4, 3, 9, 8, 3, 6, 0, 1, 9, 2, 2, 9, 1, 6, 6, 2, 8, 2, 4, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 0, 2, 9, 7, 9, 7, 0, 0]","[2, 0, 9, 8, 3, 3, 9, 3, 3, 8, 8, 6, 7, 2, 9, 4, 1, 4, 2, 0]"
