sector,t_skills,m_skills,s_skills,s_activas,afinidad_t,afinidad_m,t_min,t_max,t_avg,clase_fatiga
8,"[6, 10, 5, 6, 10, 2, 10, 4, 5, 1, 6, 8, 0, 6, 4, 5, 6, 10, 6, 7]","[2, 2, 0, 2, 0, 1, 1, 0, 1, 0, 3, 7, 6, 5, 10, 4, 3, 6, 1, 6]","[5, 2, 4, 1, 10, 6, 0, 0, 9, 5, 10, 8, 0, 2, 1, 1, 1, 5, 2, 10]",11,0.3438548655478896,0.49221092061861293,6,50,28.651073446072314,2
0,"[6, 6, 10, 7, 0, 3, 2, 6, 7, 4, 3, 0, 1, 0, 8, 9, 6, 0, 6, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 3, 6, 6, 3, 5, 2, 8, 4, 5, 1]","[5, 0, 3, 1, 2, 8, 6, 4, 1, 5, 7, 4, 1, 0, 6, 3, 5, 4, 0, 6]",24,0.608512104513134,0.760529279410103,7,45,28.01905678737065,1
11,"[1, 4, 8, 1, 0, 1, 9, 7, 3, 5, 6, 5, 4, 5, 3, 1, 1, 8, 6, 2]","[0, 2, 0, 0, 2, 2, 1, 0, 1, 0, 9, 2, 8, 10, 6, 8, 4, 5, 2, 0]","[4, 2, 5, 0, 9, 7, 10, 3, 4, 2, 0, 2, 1, 7, 2, 1, 6, 0, 3, 1]",26,0.15861919948121808,0.202585489241015,2,51,25.91243893899075,4
17,"[2, 3, 6, 8, 4, 3, 9, 0, 0, 7, 3, 4, 6, 5, 10, 6, 6, 2, 6, 4]","[0, 0, 2, 1, 0, 0, 1, 0, 0, 1, 5, 0, 5, 2, 7, 0, 2, 3, 1, 9]","[7, 9, 6, 7, 9, 8, 1, 5, 4, 2, 8, 10, 1, 9, 6, 8, 7, 1, 9, 7]",15,0.522002855501699,0.5380893171415619,6,52,30.255192520994736,2
2,"[8, 0, 0, 0, 1, 4, 8, 6, 4, 5, 3, 0, 5, 6, 5, 7, 3, 7, 6, 10]","[0, 2, 0, 0, 1, 1, 2, 0, 0, 0, 8, 10, 4, 7, 4, 6, 8, 5, 4, 3]","[1, 1, 0, 8, 10, 0, 6, 3, 0, 9, 0, 9, 3, 7, 3, 0, 5, 6, 2, 4]",19,0.46125635972098383,0.5025896963984996,7,40,25.273633144254468,0
19,"[0, 8, 8, 2, 8, 6, 5, 6, 0, 3, 8, 10, 5, 6, 10, 3, 8, 2, 3, 2]","[1, 0, 0, 2, 0, 0, 0, 0, 1, 2, 4, 8, 8, 7, 0, 1, 0, 2, 1, 9]","[0, 8, 8, 9, 8, 6, 0, 10, 0, 3, 9, 2, 0, 5, 8, 7, 1, 10, 1, 2]",16,0.1523468001694193,0.18530782302780463,9,20,14.14037843162763,4
7,"[4, 7, 7, 1, 9, 5, 1, 3, 2, 4, 5, 7, 2, 0, 5, 6, 10, 1, 7, 5]","[2, 0, 2, 0, 2, 2, 0, 0, 0, 1, 8, 1, 6, 3, 8, 8, 1, 5, 7, 7]","[10, 2, 4, 0, 7, 0, 6, 4, 9, 0, 0, 7, 2, 6, 3, 8, 4, 2, 10, 10]",29,0.20643661536451097,0.21206141037587917,2,27,14.515790895614833,3
23,"[6, 0, 5, 2, 8, 4, 6, 5, 4, 4, 7, 1, 1, 3, 2, 9, 7, 0, 5, 6]","[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 1, 6, 2, 8, 4, 3, 7, 5, 3]","[8, 0, 8, 0, 4, 5, 9, 7, 2, 2, 4, 4, 0, 2, 4, 5, 3, 7, 4, 8]",18,0.8500418041291526,0.9140761967781512,6,24,17.302740629583738,0
16,"[0, 2, 3, 9, 1, 10, 2, 10, 3, 0, 7, 9, 6, 9, 7, 5, 4, 1, 2, 3]","[2, 0, 0, 1, 0, 2, 2, 0, 0, 2, 1, 3, 6, 8, 7, 7, 7, 4, 1, 7]","[7, 2, 4, 4, 7, 9, 1, 6, 2, 6, 2, 5, 10, 4, 7, 3, 4, 5, 6, 4]",26,0.3266549328239361,0.2914810161744903,7,48,28.16228983871078,3
2,"[4, 4, 8, 10, 2, 4, 0, 0, 10, 1, 4, 10, 2, 7, 7, 0, 6, 4, 3, 7]","[0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 2, 6, 0, 1, 9, 6, 8, 5, 0, 0]","[1, 0, 8, 8, 4, 5, 7, 2, 3, 6, 6, 4, 6, 2, 9, 2, 3, 2, 1, 2]",18,0.14836483313554943,-0.09077223633994619,2,39,20.3978786171727,3
21,"[10, 7, 9, 4, 0, 5, 6, 0, 5, 5, 5, 4, 0, 3, 6, 4, 1, 10, 5, 10]","[2, 0, 0, 1, 2, 2, 0, 0, 2, 0, 3, 0, 2, 10, 8, 1, 6, 7, 9, 7]","[6, 1, 4, 0, 7, 1, 7, 1, 0, 3, 0, 8, 6, 4, 0, 3, 0, 5, 9, 3]",12,0.8318821181742642,0.9346456959706693,9,30,20.792519245674217,0
16,"[10, 3, 10, 6, 2, 0, 5, 1, 3, 1, 3, 2, 0, 7, 0, 5, 1, 4, 3, 2]","[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 2, 8, 6, 2, 6, 6, 7, 8, 4]","[5, 4, 7, 3, 5, 0, 1, 7, 7, 7, 0, 0, 2, 7, 3, 4, 0, 1, 6, 5]",27,1.0606973465089065,0.8160021713773693,9,23,15.77979037292682,0
16,"[7, 8, 9, 6, 6, 8, 3, 7, 7, 6, 9, 2, 10, 9, 7, 2, 5, 5, 7, 1]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 6, 8, 7, 9, 4, 8, 4, 0, 2, 4]","[2, 5, 8, 6, 8, 10, 5, 9, 3, 5, 5, 8, 4, 0, 6, 3, 3, 4, 6, 0]",13,0.1514527282798623,0.21978902356183733,2,51,26.67857767686435,4
18,"[9, 9, 7, 3, 2, 9, 2, 6, 7, 6, 0, 6, 5, 10, 1, 3, 10, 6, 6, 8]","[1, 1, 0, 0, 2, 0, 2, 0, 2, 0, 5, 1, 8, 6, 4, 3, 5, 8, 7, 3]","[3, 6, 5, 8, 1, 6, 8, 4, 3, 5, 8, 8, 8, 8, 0, 0, 5, 5, 9, 3]",21,0.23561461423999516,0.3146008195331895,7,29,17.03606886228533,2
21,"[0, 4, 0, 5, 7, 0, 8, 6, 7, 2, 0, 10, 2, 4, 8, 7, 10, 7, 8, 3]","[2, 2, 2, 0, 1, 0, 0, 2, 0, 2, 4, 7, 3, 2, 7, 9, 4, 6, 0, 0]","[3, 8, 7, 3, 7, 2, 9, 2, 10, 10, 8, 10, 7, 2, 2, 7, 2, 4, 5, 1]",28,0.7304919748292039,0.7804187258340417,2,38,19.46949748017504,1
10,"[3, 2, 0, 9, 2, 4, 10, 9, 6, 9, 0, 5, 7, 8, 9, 5, 10, 2, 0, 0]","[1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 5, 6, 3, 6, 0, 0, 9, 0, 2, 3]","[8, 6, 7, 6, 3, 0, 2, 0, 5, 2, 6, 5, 9, 0, 0, 1, 8, 7, 7, 5]",14,0.26289366417269466,0.16560532535420225,5,26,15.698749352207262,3
6,"[9, 5, 10, 6, 3, 3, 3, 2, 2, 6, 7, 2, 4, 1, 0, 1, 9, 3, 8, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 8, 3, 1, 5, 8, 10, 10, 4, 4, 6]","[10, 0, 2, 0, 8, 6, 7, 1, 0, 0, 9, 5, 0, 4, 5, 8, 5, 5, 10, 2]",29,0.8182582234783592,0.9376076225783115,5,41,23.79305065106591,0
13,"[9, 4, 4, 5, 2, 0, 0, 5, 9, 4, 4, 5, 6, 3, 4, 7, 9, 3, 6, 7]","[2, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 3, 5, 5, 1, 7, 0, 8, 3, 5]","[0, 0, 5, 4, 9, 5, 1, 0, 2, 3, 8, 2, 1, 4, 0, 7, 10, 7, 6, 7]",11,0.6816934170040139,0.6952802325468374,8,49,28.575735929643677,1
20,"[0, 6, 1, 0, 2, 10, 7, 5, 3, 8, 5, 8, 3, 9, 9, 0, 7, 2, 6, 7]","[0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 4, 0, 1, 2, 6, 3, 6, 8, 4, 5]","[2, 0, 0, 2, 0, 3, 6, 4, 2, 8, 9, 7, 10, 3, 5, 0, 1, 4, 6, 0]",10,0.9426559311120697,1.0260022756614076,2,37,20.599026923950973,0
25,"[10, 3, 7, 4, 3, 5, 0, 10, 3, 0, 4, 9, 5, 6, 10, 0, 3, 6, 0, 10]","[0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 9, 2, 8, 10, 3, 4, 1, 10, 6]","[4, 2, 2, 0, 1, 8, 3, 2, 8, 7, 10, 6, 1, 2, 9, 0, 0, 9, 6, 10]",12,0.8232648860624563,0.927448668417943,1,22,11.834205625392045,0
2,"[8, 2, 0, 1, 3, 1, 7, 3, 2, 2, 6, 0, 2, 3, 5, 6, 7, 7, 0, 4]","[1, 0, 1, 2, 0, 0, 1, 2, 2, 0, 4, 7, 5, 6, 6, 10, 0, 1, 3, 4]","[4, 3, 4, 9, 6, 3, 0, 1, 3, 3, 4, 0, 8, 9, 0, 5, 2, 2, 2, 2]",21,0.2720503731324466,0.2149098074003883,1,49,25.98257054335876,4
21,"[8, 7, 5, 8, 6, 5, 8, 2, 6, 4, 9, 3, 8, 10, 3, 7, 2, 1, 9, 2]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 2, 4, 7, 9, 0, 4, 4, 3, 4, 2, 7]","[8, 5, 3, 2, 7, 1, 4, 6, 8, 6, 5, 4, 0, 5, 2, 7, 7, 3, 7, 8]",10,0.97824013797471,0.8559741099284651,4,33,17.91352569304422,0
17,"[0, 7, 4, 10, 1, 6, 2, 4, 5, 0, 2, 1, 5, 6, 7, 9, 10, 9, 1, 1]","[2, 1, 0, 1, 2, 0, 0, 0, 2, 0, 9, 3, 10, 10, 5, 7, 6, 6, 0, 1]","[1, 7, 7, 10, 4, 3, 3, 5, 4, 5, 4, 4, 10, 8, 6, 2, 4, 7, 2, 8]",22,0.6950945673522818,0.7511139802532518,8,32,21.294736642327173,1
7,"[8, 8, 1, 8, 5, 1, 8, 8, 4, 2, 5, 6, 7, 3, 3, 6, 6, 3, 5, 2]","[1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 2, 6, 4, 5, 1, 0, 1, 4, 6, 4]","[9, 10, 0, 4, 7, 2, 3, 4, 4, 1, 9, 8, 2, 8, 0, 4, 8, 2, 8, 8]",18,0.7786380995445424,0.7428472039341468,4,51,27.486133843955777,1
9,"[5, 6, 7, 1, 5, 3, 7, 10, 0, 2, 7, 5, 7, 7, 6, 0, 0, 1, 8, 10]","[2, 2, 1, 0, 0, 0, 0, 0, 0, 1, 3, 4, 7, 8, 0, 4, 0, 8, 3, 4]","[3, 7, 6, 7, 5, 2, 9, 8, 7, 6, 5, 4, 1, 7, 9, 6, 8, 7, 7, 9]",10,0.951710642648781,0.8493391348331013,3,27,14.892762155350713,0
5,"[10, 0, 0, 9, 10, 10, 5, 4, 0, 3, 2, 0, 4, 5, 8, 1, 2, 2, 3, 6]","[0, 0, 0, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 8, 2, 7, 2, 10, 6, 8]","[4, 0, 4, 0, 1, 7, 5, 4, 10, 6, 10, 0, 4, 4, 0, 3, 4, 3, 6, 3]",12,0.3071490302777034,0.4288369240553488,6,39,21.473018750039593,3
17,"[6, 9, 9, 4, 8, 5, 9, 3, 7, 6, 5, 2, 2, 0, 7, 1, 0, 2, 0, 0]","[2, 0, 1, 0, 0, 2, 0, 0, 2, 0, 4, 0, 3, 1, 1, 0, 3, 5, 5, 10]","[5, 9, 5, 7, 1, 0, 1, 6, 0, 7, 1, 5, 1, 1, 5, 6, 3, 6, 8, 10]",19,0.7109607557098939,0.7016199081206769,-1,60,29.94088340473978,1
11,"[5, 1, 6, 7, 5, 4, 2, 6, 7, 8, 8, 3, 3, 4, 5, 0, 8, 1, 5, 4]","[0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 3, 6, 0, 2, 7, 10, 9, 0, 0, 4]","[7, 8, 8, 4, 4, 1, 6, 5, 0, 4, 0, 3, 8, 7, 6, 6, 6, 4, 9, 9]",22,0.4937588225503978,0.4503935214345881,6,46,25.48849797015414,2
23,"[6, 0, 0, 9, 5, 6, 0, 6, 6, 1, 1, 3, 6, 3, 0, 5, 0, 2, 0, 3]","[1, 0, 0, 0, 2, 0, 0, 1, 0, 2, 2, 4, 6, 7, 4, 9, 10, 2, 9, 0]","[6, 4, 6, 6, 2, 10, 0, 8, 2, 1, 1, 7, 5, 0, 3, 8, 3, 0, 8, 6]",14,0.5663729190473755,0.38206242839427185,11,29,20.263768393539298,2
