Cluster,Occupation,Skills
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,"['Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations']"
Architecture and Engineering,Aerospace Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations']"
Architecture and Engineering,Agricultural Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Food Production — Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques.\nRelated occupations', 'Biology — Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations']"
Architecture and Engineering,"Architects, Except Landscape and Naval","['Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Economics and Accounting — Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data.\nRelated occupations', 'Sales and Marketing — Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.\nRelated occupations', 'Fine Arts — Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'Personnel and Human Resources — Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.\nRelated occupations']"
Architecture and Engineering,Architectural and Civil Drafters,"['Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations']"
Architecture and Engineering,Automotive Engineering Technicians,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Transportation — Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations']"
Architecture and Engineering,Automotive Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Transportation — Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations']"
Architecture and Engineering,Bioengineers and Biomedical Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Biology — Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'Medicine and Dentistry — Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations']"
Architecture and Engineering,Calibration Technologists and Technicians,[]
Architecture and Engineering,Cartographers and Photogrammetrists,"['Geography — Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations']"
