Cluster,Occupation,Task Description
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Probar sistemas de aeronaves en condiciones operativas simuladas, realizando pruebas de preparación de sistemas y comprobaciones pre y posoperacionales, para establecer parámetros de diseño o fabricación.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Identifique los datos requeridos, los planes de adquisición de datos y los parámetros de prueba, configurando el equipo para que se ajuste a estas especificaciones.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Inspeccionar, diagnosticar, mantener y operar configuraciones y equipos de prueba para detectar fallas de funcionamiento.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Consultar con el personal de ingeniería sobre los detalles y las implicaciones de los procedimientos y resultados de las pruebas.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Operar y calibrar sistemas y dispositivos informáticos para cumplir con los requisitos de prueba y realizar la adquisición y análisis de datos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Registre e interprete datos de prueba sobre piezas, conjuntos y mecanismos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Ajustar, reparar o reemplazar componentes defectuosos de las configuraciones y equipos de prueba.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Fabricar e instalar piezas y sistemas para probar en equipos de prueba, utilizando herramientas manuales, herramientas eléctricas e instrumentos de prueba.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Terminar la instrumentación y desinstrumentación del vehículo.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Construir y mantener instalaciones de prueba para piezas y sistemas de aeronaves, según especificaciones.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Diseñar sistemas eléctricos y mecánicos para aplicaciones de instrumentación aviónica.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Intercambio de componentes del sistema de refrigeración en varios vehículos.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Probar sistemas de aeronaves en condiciones operativas simuladas, realizando pruebas de preparación de sistemas y comprobaciones pre y posoperacionales, para establecer parámetros de diseño o fabricación.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Identifique los datos requeridos, los planes de adquisición de datos y los parámetros de prueba, configurando el equipo para que se ajuste a estas especificaciones.
Ocupaciones relacionadas"
Arquitectura e Ingeniería,Tecnólogos y Técnicos en Ingeniería y Operaciones Aeroespaciales,"Inspeccionar, diagnosticar, mantener y operar configuraciones y equipos de prueba para detectar fallas de funcionamiento.
Ocupaciones relacionadas"
